date,home_team,away_team,home_score,away_score,group,match_number
2026-06-11,Mexico,South Africa,2,0,A,1
2026-06-11,South Korea,Czech Republic,2,1,A,2
2026-06-12,Canada,Bosnia-Herzegovina,1,1,B,3
2026-06-13,Qatar,Switzerland,1,1,B,4
2026-06-13,Brazil,Morocco,1,1,C,5
2026-06-13,Haiti,Scotland,0,1,C,6
2026-06-12,United States,Paraguay,4,1,D,7
2026-06-13,Australia,Turkey,2,0,D,8
2026-06-14,Germany,Curaçao,7,1,E,9
2026-06-14,Netherlands,Japan,2,2,F,10
